date,body,doc_type,extraction,path
2006-07-17,BOS,agenda,ok,BOS/2006/2006-07-17_BOS_agenda_962.md
2006-07-17,BOS,agenda,ok,BOS/2006/2006-07-17_BOS_agenda_998.md
2006-07-18,BOS,agenda,ok,BOS/2006/2006-07-18_BOS_agenda_963.md
2006-07-24,BOS,agenda,ok,BOS/2006/2006-07-24_BOS_agenda_964.md
2006-07-24,BOS,agenda,ok,BOS/2006/2006-07-24_BOS_agenda_999.md
2006-07-31,BOS,agenda,ok,BOS/2006/2006-07-31_BOS_agenda_965.md
2006-07-31,BOS,agenda,poor-likely-scanned,BOS/2006/2006-07-31_BOS_agenda_1000.md
2006-08-07,BOS,agenda,ok,BOS/2006/2006-08-07_BOS_agenda_1001.md
2006-08-07,BOS,agenda,ok,BOS/2006/2006-08-07_BOS_agenda_966.md
2006-08-12,BOS,agenda,ok,BOS/2006/2006-08-12_BOS_agenda_967.md
2006-08-21,BOS,agenda,ok,BOS/2006/2006-08-21_BOS_agenda_1002.md
2006-08-21,BOS,agenda,ok,BOS/2006/2006-08-21_BOS_agenda_968.md
2006-08-24,BOS,agenda,ok,BOS/2006/2006-08-24_BOS_agenda_1003.md
2006-08-24,BOS,agenda,ok,BOS/2006/2006-08-24_BOS_agenda_969.md
2006-08-25,BOS,agenda,ok,BOS/2006/2006-08-25_BOS_agenda_970.md
2006-09-05,BOS,agenda,ok,BOS/2006/2006-09-05_BOS_agenda_1004.md
2006-09-05,BOS,agenda,ok,BOS/2006/2006-09-05_BOS_agenda_971.md
2006-09-18,BOS,agenda,ok,BOS/2006/2006-09-18_BOS_agenda_1005.md
2006-09-18,BOS,agenda,ok,BOS/2006/2006-09-18_BOS_agenda_972.md
2006-09-21,BOS,agenda,ok,BOS/2006/2006-09-21_BOS_agenda_973.md
2006-09-26,BOS,agenda,ok,BOS/2006/2006-09-26_BOS_agenda_974.md
2006-10-02,BOS,agenda,ok,BOS/2006/2006-10-02_BOS_agenda_1006.md
2006-10-02,BOS,agenda,ok,BOS/2006/2006-10-02_BOS_agenda_975.md
2006-10-04,BOS,agenda,ok,BOS/2006/2006-10-04_BOS_agenda_976.md
2006-10-16,BOS,agenda,ok,BOS/2006/2006-10-16_BOS_agenda_977.md
2006-10-23,BOS,agenda,ok,BOS/2006/2006-10-23_BOS_agenda_1007.md
2006-10-23,BOS,agenda,ok,BOS/2006/2006-10-23_BOS_agenda_978.md
2006-11-06,BOS,agenda,ok,BOS/2006/2006-11-06_BOS_agenda_1008.md
2006-11-06,BOS,agenda,ok,BOS/2006/2006-11-06_BOS_agenda_979.md
2006-11-20,BOS,agenda,ok,BOS/2006/2006-11-20_BOS_agenda_1009.md
2006-11-20,BOS,agenda,ok,BOS/2006/2006-11-20_BOS_agenda_980.md
2006-12-04,BOS,agenda,ok,BOS/2006/2006-12-04_BOS_agenda_1010.md
2006-12-04,BOS,agenda,ok,BOS/2006/2006-12-04_BOS_agenda_981.md
2006-12-18,BOS,agenda,ok,BOS/2006/2006-12-18_BOS_agenda_1011.md
2006-12-18,BOS,agenda,ok,BOS/2006/2006-12-18_BOS_agenda_982.md
2007-01-02,BOS,agenda,ok,BOS/2007/2007-01-02_BOS_agenda_888.md
2007-01-02,BOS,agenda,ok,BOS/2007/2007-01-02_BOS_agenda_916.md
2007-01-16,BOS,agenda,ok,BOS/2007/2007-01-16_BOS_agenda_889.md
2007-01-16,BOS,agenda,ok,BOS/2007/2007-01-16_BOS_agenda_917.md
2007-02-06,BOS,agenda,ok,BOS/2007/2007-02-06_BOS_agenda_890.md
2007-02-06,BOS,agenda,ok,BOS/2007/2007-02-06_BOS_agenda_918.md
2007-02-20,BOS,agenda,ok,BOS/2007/2007-02-20_BOS_agenda_891.md
2007-02-20,BOS,agenda,ok,BOS/2007/2007-02-20_BOS_agenda_919.md
2007-03-13,BOS,agenda,ok,BOS/2007/2007-03-13_BOS_agenda_892.md
2007-03-13,BOS,agenda,ok,BOS/2007/2007-03-13_BOS_agenda_920.md
2007-03-20,BOS,agenda,ok,BOS/2007/2007-03-20_BOS_agenda_893.md
2007-03-20,BOS,agenda,ok,BOS/2007/2007-03-20_BOS_agenda_921.md
2007-04-03,BOS,agenda,ok,BOS/2007/2007-04-03_BOS_agenda_894.md
2007-04-03,BOS,agenda,ok,BOS/2007/2007-04-03_BOS_agenda_922.md
2007-04-17,BOS,agenda,ok,BOS/2007/2007-04-17_BOS_agenda_895.md
2007-04-17,BOS,agenda,ok,BOS/2007/2007-04-17_BOS_agenda_923.md
2007-05-01,BOS,agenda,ok,BOS/2007/2007-05-01_BOS_agenda_896.md
2007-05-01,BOS,agenda,ok,BOS/2007/2007-05-01_BOS_agenda_924.md
2007-05-14,BOS,agenda,ok,BOS/2007/2007-05-14_BOS_agenda_925.md
2007-05-15,BOS,agenda,ok,BOS/2007/2007-05-15_BOS_agenda_897.md
2007-05-15,BOS,agenda,ok,BOS/2007/2007-05-15_BOS_agenda_926.md
2007-05-22,BOS,agenda,ok,BOS/2007/2007-05-22_BOS_agenda_927.md
2007-05-22,BOS,agenda,poor-likely-scanned,BOS/2007/2007-05-22_BOS_agenda_898.md
2007-06-05,BOS,agenda,ok,BOS/2007/2007-06-05_BOS_agenda_899.md
2007-06-05,BOS,agenda,ok,BOS/2007/2007-06-05_BOS_agenda_928.md
2007-06-19,BOS,agenda,ok,BOS/2007/2007-06-19_BOS_agenda_900.md
2007-06-19,BOS,agenda,ok,BOS/2007/2007-06-19_BOS_agenda_929.md
2007-07-03,BOS,agenda,ok,BOS/2007/2007-07-03_BOS_agenda_901.md
2007-07-03,BOS,agenda,ok,BOS/2007/2007-07-03_BOS_agenda_930.md
2007-07-17,BOS,agenda,ok,BOS/2007/2007-07-17_BOS_agenda_902.md
2007-07-17,BOS,agenda,ok,BOS/2007/2007-07-17_BOS_agenda_931.md
2007-07-19,BOS,agenda,ok,BOS/2007/2007-07-19_BOS_agenda_903.md
2007-07-19,BOS,agenda,ok,BOS/2007/2007-07-19_BOS_agenda_932.md
2007-08-07,BOS,agenda,ok,BOS/2007/2007-08-07_BOS_agenda_904.md
2007-08-07,BOS,agenda,ok,BOS/2007/2007-08-07_BOS_agenda_933.md
2007-08-14,BOS,agenda,ok,BOS/2007/2007-08-14_BOS_agenda_934.md
2007-08-14,BOS,agenda,poor-likely-scanned,BOS/2007/2007-08-14_BOS_agenda_905.md
2007-08-21,BOS,agenda,ok,BOS/2007/2007-08-21_BOS_agenda_906.md
2007-08-21,BOS,agenda,ok,BOS/2007/2007-08-21_BOS_agenda_935.md
2007-09-04,BOS,agenda,ok,BOS/2007/2007-09-04_BOS_agenda_907.md
2007-09-04,BOS,agenda,ok,BOS/2007/2007-09-04_BOS_agenda_936.md
2007-09-18,BOS,agenda,ok,BOS/2007/2007-09-18_BOS_agenda_908.md
2007-09-18,BOS,agenda,ok,BOS/2007/2007-09-18_BOS_agenda_937.md
2007-10-02,BOS,agenda,ok,BOS/2007/2007-10-02_BOS_agenda_909.md
2007-10-02,BOS,agenda,ok,BOS/2007/2007-10-02_BOS_agenda_938.md
2007-10-16,BOS,agenda,ok,BOS/2007/2007-10-16_BOS_agenda_910.md
2007-10-16,BOS,agenda,ok,BOS/2007/2007-10-16_BOS_agenda_939.md
2007-11-06,BOS,agenda,ok,BOS/2007/2007-11-06_BOS_agenda_911.md
2007-11-06,BOS,agenda,ok,BOS/2007/2007-11-06_BOS_agenda_940.md
2007-11-16,BOS,agenda,ok,BOS/2007/2007-11-16_BOS_agenda_912.md
2007-11-16,BOS,agenda,ok,BOS/2007/2007-11-16_BOS_agenda_941.md
2007-11-20,BOS,agenda,ok,BOS/2007/2007-11-20_BOS_agenda_913.md
2007-11-20,BOS,agenda,ok,BOS/2007/2007-11-20_BOS_agenda_942.md
2007-12-03,BOS,agenda,ok,BOS/2007/2007-12-03_BOS_agenda_914.md
2007-12-03,BOS,agenda,ok,BOS/2007/2007-12-03_BOS_agenda_943.md
2007-12-18,BOS,agenda,ok,BOS/2007/2007-12-18_BOS_agenda_915.md
2007-12-18,BOS,agenda,ok,BOS/2007/2007-12-18_BOS_agenda_944.md
2008-01-08,BOS,agenda,ok,BOS/2008/2008-01-08_BOS_agenda_816.md
2008-01-08,BOS,agenda,ok,BOS/2008/2008-01-08_BOS_agenda_853.md
2008-01-22,BOS,agenda,ok,BOS/2008/2008-01-22_BOS_agenda_817.md
2008-01-22,BOS,agenda,ok,BOS/2008/2008-01-22_BOS_agenda_854.md
